CODIGO,DESCRIPCION
0111100000100,"Trigo duro, para siembra (semillas)"
0111100009900,"Trigo, para siembra (semillas), excepto duro"
0111200000100,"Trigo duro, excepto para siembra"
0111200000200,"Trigo, para producción de alimento para animales"
0111200009900,"Trigo, n.c.p."
0112100000000,"Maíz, para siembra (semillas)"
0112201010100,"Maíz blanco, desgranado, seco, para consumo humano"
0112201010200,"Maíz blanco, desgranado, seco, para producción de alimento para animales"
0112201020100,"Maíz blanco, en mazorca, seco, para consumo humano"
0112201020200,"Maíz blanco, en mazorca, seco, para producción de alimento para animales"
0112202010100,"Maíz amarillo, desgranado, seco, para consumo humano"
0112202010200,"Maíz amarillo, desgranado, seco, para producción de alimento para animales"
0112202020100,"Maíz amarillo, en mazorca, seco, para consumo humano"
0112202020200,"Maíz amarillo, en mazorca, seco, para producción de alimento para animales"
0112203010000,"Maíz palomero tipo ""pop"", desgranado, seco"
0112203020000,"Maíz palomero tipo ""pop"", en mazorca, seco"
0112299010100,"Maíz, desgranado, seco, para consumo humano, n.c.p."
0112299010200,"Maíz, desgranado, seco, para producción de alimento para animales, n.c.p."
0112299020100,"Maíz, en mazorca, seco, para consumo humano, n.c.p."
0112299020200,"Maíz, en mazorca, seco, para producción de alimento para animales, n.c.p."
0113100000000,"Arroz, para siembra (semillas)"
0113200000000,"Arroz con cáscara (no descascarillado), excepto para siembra"
0114100000000,"Sorgo, para siembra (semillas)"
0114200000100,"Sorgo, para producción de alimento para animales"
0114200009900,"Sorgo, n.c.p."
0115100000000,"Cebada, para siembra (semillas)"
0115200000000,"Cebada, excepto para siembra"
0116100000000,"Centeno, para siembra (semillas)"
0116200000000,"Centeno, excepto para siembra"
0117100000000,"Avena, para siembra (semillas)"
0117200000000,"Avena, excepto para siembra"
